보관소명,소재지,위도,경도,LCD,QR,설치대수
두산대림아파트 삼거리,중랑구,37.61882401,127.0875702,,10,10
sk신내 주유소앞(용마산로),중랑구,37.61362076,127.1011505,,10,10
먹골역 7번 출구,중랑구,37.6114769,127.0773926,,10,10
먹골역 4번출구,중랑구,37.60982132,127.0781326,,20,20
중화동 우리은행 앞,중랑구,37.60520172,127.0785828,,20,20
동양쇼핑 정류소 앞,중랑구,37.61535263,127.0784912,,10,10
영성빌딩(PAT),중랑구,37.60408401,127.0792313,,8,8
중랑역 1번 출구(중화문화복지센터),중랑구,37.59489059,127.0749512,,10,10
서울중랑우체국,중랑구,37.59581375,127.08284,,10,10
면목삼익아파트 앞,중랑구,37.57598495,127.0796051,,10,10
홈플러스 상봉점 앞,중랑구,37.59832764,127.0922699,,15,15
면목 홈플러스 2,중랑구,37.58105469,127.0820923,,10,10
 용마지구대 옆,중랑구,37.58111191,127.080101,,15,15
"미아역 3번,4번 출구 사이",강북구,37.62607956,127.0264816,9,,9
이디야 커피 수유역점 앞,강북구,37.63926315,127.0267258,14,,14
다이소 삼양시장점,강북구,37.62415695,127.0186234,10,,10
강북문화예술회관,강북구,37.64032745,127.0133591,15,,15
서울북부수도사업소,강북구,37.63437653,127.0357513,10,,10
번동주공5단지 관리사무소 앞,강북구,37.63371658,127.0355148,10,,10
번동 금호어울림아파트102동앞,강북구,37.63112259,127.0360336,9,,9
강북중학교 앞,강북구,37.64473724,127.0265656,20,,20
강북구청 뒷편,강북구,37.63967133,127.0251999,20,,20
강북구청 사거리 버스정류소 앞,강북구,37.63880539,127.0283585,10,,10
송천동 주민센터,강북구,37.61828613,127.0240479,10,,10
우이초등학교 후문 옆,강북구,37.63858795,127.0159073,10,,10
SK telecom(수유직영점) 앞,강북구,37.64308548,127.0161667,10,,10
세븐일레븐 수유장미원점 앞,강북구,37.64545059,127.0156174,10,,10
성실교회,강북구,37.63986206,127.022789,,10,10
월드전기조명인테리어(우이동),강북구,37.65447235,127.0127564,10,,10
미아동 복합청사,강북구,37.62714005,127.0266953,10,,10
수유동 채선당앞,강북구,37.64173889,127.0246277,8,,8
미아역 1번 출구 뒤,강북구,37.62733459,127.0260544,10,,10
삼각산동 주민센터,강북구,37.61503601,127.0206986,10,,10
미아동 한국전력공사,강북구,37.63018036,127.02491,15,,15
광산사거리,강북구,37.64355087,127.0223465,13,,13
미아사거리 1번 출구,강북구,37.61395645,127.0302506,10,,10
번3동 주민센터 교차로,강북구,37.62635422,127.0474472,10,,10
"번동 주공3, 4단지 교차로",강북구,37.62991714,127.0409164,10,,10
효성인텔리안 앞,강북구,37.6362915,127.0233765,10,,10
번동 두산위브 101동 옆,강북구,37.63626099,127.0321732,20,,20
북한산 우이역,강북구,37.66366577,127.0124283,10,,10
솔밭공원역,강북구,37.65615845,127.0131378,8,,8
4.19민주묘지역,강북구,37.64967346,127.0134506,9,,9
가오리역,강북구,37.64167023,127.0168839,10,,10
삼양역,강북구,37.62652969,127.0180588,10,,10
삼양사거리역,강북구,37.62155151,127.0203705,10,,10
수유1동 주민센터,강북구,37.63018799,127.0177383,10,,10
송천동우체국,강북구,37.61545944,127.0297012,10,,10
꿈의숲 롯데캐슬,강북구,37.6186409,127.0362396,10,,10
북서울 꿈의숲 서문,강북구,37.62268829,127.0378113,15,,15
삼각산아이원아파트(105동 옆),강북구,37.61522293,127.0185089,,10,10
4.19탑 앞,강북구,37.64686203,127.008812,,8,8
강북구청사거리(던킨도너츠 앞),강북구,37.63920212,127.0272369,,8,8
예수그리스도후기성도교회 앞,강북구,37.63520432,127.0339661,,15,15
번동사거리,강북구,37.63539124,127.0345535,,10,10
신창교,강북구,37.63238144,127.0393066,,10,10
강북문화정보도서관,강북구,37.62552643,127.037323,,10,10
도봉세무서 앞,강북구,37.6198082,127.0285263,,10,10
4.19민주묘지역 1번출구,강북구,37.64959717,127.0138474,,7,7
대한병원앞,강북구,37.63561249,127.022995,,15,15
4.19민주묘지 입구사거리,강북구,37.64793396,127.0145721,,10,10
수유역2번출구,강북구,37.63796997,127.0259018,,10,10
북서울 꿈의숲 입구,강북구,37.62673187,127.0387726,,10,10
우이산 입구,강북구,37.66446304,127.0118408,,10,10
현대성우아파트 옆,강북구,37.61666489,127.02211,,10,10
송중초등학교 옆,강북구,37.61669922,127.0304947,,8,8
석계역 문화광장 내 자전거 보관소,노원구,37.61495972,127.0646973,,10,10
광운대역 앞,노원구,37.62266159,127.0618973,15,,15
헬스케어,노원구,37.63162231,127.061615,10,,10
태릉입구역 3번출구,노원구,37.61917114,127.0749283,10,,10
공릉역 1번 출구 앞,노원구,37.62661362,127.0727539,10,,10
